target_RBP,genes,category_loop,colors_interaction_loop
Ist3,Erg6,PPI,#66A61E
Ist3,Ape1,PPI,#66A61E
Ist3,Sec31,PPI,#66A61E
Ist3,Rpa135,PPI,#66A61E
Ist3,Hxk1,PPI,#66A61E
Ist3,Cop1,PPI,#66A61E
Ist3,Pml1,PPI,#66A61E
Ist3,Rpo31,PPI,#66A61E
Ist3,Ura1,PPI,#66A61E
Ist3,Mss116,PPI,#66A61E
Ist3,Aro4,PPI,#66A61E
Ist3,Rpn7,PPI,#66A61E
Ist3,Idh2,PPI,#66A61E
Ist3,Gcn1,PPI,#66A61E
Ist3,Rpn9,PPI,#66A61E
Ist3,Sir4,PPI,#66A61E
Ist3,Hsh155,PPI,#66A61E
Ist3,Net1,PPI,#66A61E
Ist3,Aro1,PPI,#66A61E
Ist3,Rpn2,PPI,#66A61E
Ist3,Prp8,PPI,#66A61E
Ist3,Sam2,PPI,#66A61E
Ist3,Frs2,PPI,#66A61E
Ist3,Sti1,PPI,#66A61E
Ist3,Glo1,PPI,#66A61E
Ist3,Nop7,PPI,#66A61E
Ist3,Prp19,PPI,#66A61E
Ist3,Cct6,PPI,#66A61E
Ist3,Snu114,PPI,#66A61E
Ist3,Tdh1,PPI,#66A61E
Ist3,Rpt2,PPI,#66A61E
Ist3,Pup2,PPI,#66A61E
Ist3,Bgl2,PPI,#66A61E
Ist3,Uba1,PPI,#66A61E
Ist3,Sec14,PPI,#66A61E
Ist3,Brr2,PPI,#66A61E
Ist3,Rpt5,PPI,#66A61E
Ist3,Dld3,RNAmediated,#D95F02
Ist3,Pab1,RNAmediated,#D95F02
Ist3,Lsm12,RNAmediated,#D95F02
Ist3,She2,RNAmediated,#D95F02
Ist3,Xrn1,RNAmediated,#D95F02
Ist3,Rrp5,RNAmediated,#D95F02
Ist3,Imd4,RNAmediated,#D95F02
Ist3,Hho1,RNAmediated,#D95F02
Ist3,Tma20,RNAmediated,#D95F02
Ist3,Hmo1,RNAmediated,#D95F02
Ist3,Nam7,RNAmediated,#D95F02
Ist3,Imd3,RNAmediated,#D95F02
Ist3,Bfr1,RNAmediated,#D95F02
Ist3,Ubp3,RNAmediated,#D95F02
Cbc2,Prp40,Overlap,#7570B3
Cbc2,Prp39,Overlap,#7570B3
Cbc2,Snu71,Overlap,#7570B3
Cbc2,Mud1,Overlap,#7570B3
Cbc2,Luc7,Overlap,#7570B3
Cbc2,Prp42,Overlap,#7570B3
Cbc2,Prp19,Overlap,#7570B3
Cbc2,Snu114,Overlap,#7570B3
Cbc2,Sto1,PPI,#66A61E
Cbc2,Brr2,PPI,#66A61E
Cbc2,Yhc1,PPI,#66A61E
Cbc2,Kap95,PPI,#66A61E
Cbc2,Snu56,PPI,#66A61E
Cbc2,Cct7,PPI,#66A61E
Cbc2,Rsm26,PPI,#66A61E
Cbc2,Nrd1,PPI,#66A61E
Cbc2,Tif4631,PPI,#66A61E
Cbc2,Srp1,PPI,#66A61E
Cbc2,Ypk1,PPI,#66A61E
Cbc2,Snp1,PPI,#66A61E
Cbc2,Yhb1,PPI,#66A61E
Cbc2,Smd2,PPI,#66A61E
Cbc2,Cdc11,PPI,#66A61E
Cbc2,Prp8,PPI,#66A61E
Cbc2,Csr1,PPI,#66A61E
Cbc2,Erg1,PPI,#66A61E
Cbc2,Erg6,PPI,#66A61E
Cbc2,Smb1,PPI,#66A61E
Cbc2,Nop12,PPI,#66A61E
Cbc2,Nab3,PPI,#66A61E
Cbc2,Tma22,PPI,#66A61E
Cbc2,Pap2,PPI,#66A61E
Cbc2,Ubc4,PPI,#66A61E
Cbc2,Lsg1,PPI,#66A61E
Cbc2,Fpr3,PPI,#66A61E
Cbc2,Ade3,PPI,#66A61E
Cbc2,Imd4,RNAmediated,#D95F02
Cbc2,Pab1,RNAmediated,#D95F02
Cbc2,Rse1,RNAmediated,#D95F02
Cbc2,Cus1,RNAmediated,#D95F02
Cbc2,Imd3,RNAmediated,#D95F02
Cbc2,Xrn1,RNAmediated,#D95F02
Cbc2,Rrp5,RNAmediated,#D95F02
Cbc2,Cdc33,RNAmediated,#D95F02
Cbc2,Hmo1,RNAmediated,#D95F02
Cbc2,Thp2,RNAmediated,#D95F02
Cbc2,Hsh155,RNAmediated,#D95F02
Cbc2,Nop13,RNAmediated,#D95F02
Cbc2,Rbg1,RNAmediated,#D95F02
Cbc2,Sbp1,RNAmediated,#D95F02
Cbc2,Prp21,RNAmediated,#D95F02
Cbc2,Sro9,RNAmediated,#D95F02
Cbc2,Nam7,RNAmediated,#D95F02
Cbc2,Mgm101,RNAmediated,#D95F02
Cbc2,Scp160,RNAmediated,#D95F02
